controller,file,method
ContratosController,app\controllers\ContratosController.php,relatorios
ContratosController,app\controllers\ContratosController.php,exportarRelatorioVigenciaPdf
ContratosController,app\controllers\ContratosController.php,detalhe
ContratosController,app\controllers\ContratosController.php,excluir
ContratosController,app\controllers\ContratosController.php,salvarAditivo
ContratosController,app\controllers\ContratosController.php,excluirAditivo
ContratosController,app\controllers\ContratosController.php,getFormForEditAditivo
ContratosController,app\controllers\ContratosController.php,gerenciarObrigacoes
ContratosController,app\controllers\ContratosController.php,salvarObrigacao
ContratosController,app\controllers\ContratosController.php,atualizarStatusObrigacao
ContratosController,app\controllers\ContratosController.php,excluirObrigacao
ContratosController,app\controllers\ContratosController.php,gerenciarFinanceiro
ContratosController,app\controllers\ContratosController.php,salvarParcela
ContratosController,app\controllers\ContratosController.php,lancarParcela
ContratosController,app\controllers\ContratosController.php,enviarAlerta
ContratosController,app\controllers\ContratosController.php,uploadDocumento
ContratosController,app\controllers\ContratosController.php,processarAlerta
ContratosController,app\controllers\ContratosController.php,processarUpload
ContratosController,app\controllers\ContratosController.php,download
ContratosController,app\controllers\ContratosController.php,removerDocumento
ContratosController,app\controllers\ContratosController.php,relatorioCompliance
DashboardController,app\controllers\DashboardController.php,index
EmpresaController,app\controllers\EmpresaController.php,index
EmpresaController,app\controllers\EmpresaController.php,salvar
FinanceiroController,app\controllers\FinanceiroController.php,index
FinanceiroController,app\controllers\FinanceiroController.php,relatorio
FinanceiroController,app\controllers\FinanceiroController.php,exportarRelatorioPdf
FinanceiroController,app\controllers\FinanceiroController.php,novo
FinanceiroController,app\controllers\FinanceiroController.php,detalhe
FinanceiroController,app\controllers\FinanceiroController.php,salvar
FinanceiroController,app\controllers\FinanceiroController.php,excluir
FinanceiroController,app\controllers\FinanceiroController.php,addClassificacao
FinanceiroController,app\controllers\FinanceiroController.php,addCentroCusto
FinanceiroController,app\controllers\FinanceiroController.php,pagar
FinanceiroController,app\controllers\FinanceiroController.php,receber
FornecedoresController,app\controllers\FornecedoresController.php,index
FornecedoresController,app\controllers\FornecedoresController.php,novo
FornecedoresController,app\controllers\FornecedoresController.php,detalhe
FornecedoresController,app\controllers\FornecedoresController.php,salvar
FornecedoresController,app\controllers\FornecedoresController.php,salvarOcorrencia
FornecedoresController,app\controllers\FornecedoresController.php,getFormForNew
LicencasOperacaoController,app\controllers\LicencasOperacaoController.php,index
LicencasOperacaoController,app\controllers\LicencasOperacaoController.php,detalheLicenca
LicitacoesController,app\controllers\LicitacoesController.php,index
LicitacoesController,app\controllers\LicitacoesController.php,detalheProposta
NotaFiscalController,app\controllers\NotaFiscalController.php,index
NotaFiscalController,app\controllers\NotaFiscalController.php,form
NotaFiscalController,app\controllers\NotaFiscalController.php,salvar
NotaFiscalController,app\controllers\NotaFiscalController.php,excluir
OrcamentoController,app\controllers\OrcamentoController.php,proposta
OrcamentoController,app\controllers\OrcamentoController.php,propostas
OrcamentoController,app\controllers\OrcamentoController.php,novaProposta
OrcamentoController,app\controllers\OrcamentoController.php,clonarProposta
OrcamentoController,app\controllers\OrcamentoController.php,salvarProposta
OrcamentoController,app\controllers\OrcamentoController.php,verProposta
OrcamentoController,app\controllers\OrcamentoController.php,pdfProposta
OrcamentoController,app\controllers\OrcamentoController.php,historicoProposta
OrcamentoController,app\controllers\OrcamentoController.php,verHistoricoDetalhe
OrcamentoController,app\controllers\OrcamentoController.php,enviarEmailProposta
OrcamentoController,app\controllers\OrcamentoController.php,getOrcamentosAjax
OrcamentoController,app\controllers\OrcamentoController.php,getProjectDetailsAjax
OrcamentoController,app\controllers\OrcamentoController.php,comercial
OrganogramaController,app\controllers\OrganogramaController.php,index
OrganogramaController,app\controllers\OrganogramaController.php,adicionarCargo
OrganogramaController,app\controllers\OrganogramaController.php,atualizarCargo
OrganogramaController,app\controllers\OrganogramaController.php,excluirCargo
OrganogramaController,app\controllers\OrganogramaController.php,adicionarAtividade
OrganogramaController,app\controllers\OrganogramaController.php,atualizarAtividade
OrganogramaController,app\controllers\OrganogramaController.php,excluirAtividade
PatrimonioController,app\controllers\PatrimonioController.php,index
PatrimonioController,app\controllers\PatrimonioController.php,cadastro
PatrimonioController,app\controllers\PatrimonioController.php,salvar
PatrimonioController,app\controllers\PatrimonioController.php,getBemJson
PatrimonioController,app\controllers\PatrimonioController.php,excluir
PatrimonioController,app\controllers\PatrimonioController.php,movimentacoes
PatrimonioController,app\controllers\PatrimonioController.php,salvarMovimentacao
PatrimonioController,app\controllers\PatrimonioController.php,depreciacao
PatrimonioController,app\controllers\PatrimonioController.php,salvarReavaliacao
PatrimonioController,app\controllers\PatrimonioController.php,inventario
PatrimonioController,app\controllers\PatrimonioController.php,conciliarInventario
PatrimonioController,app\controllers\PatrimonioController.php,relatorios
PerfilController,app\controllers\PerfilController.php,index
PerfilController,app\controllers\PerfilController.php,form
PerfilController,app\controllers\PerfilController.php,salvar
PerfilController,app\controllers\PerfilController.php,excluir
PopsController,app\controllers\PopsController.php,index
PopsController,app\controllers\PopsController.php,visualizarPop
PradController,app\controllers\PradController.php,index
PradController,app\controllers\PradController.php,detalhePrad
ProjetosController,app\controllers\ProjetosController.php,index
ProjetosController,app\controllers\ProjetosController.php,detalhe
ProjetosController,app\controllers\ProjetosController.php,novo
ProjetosController,app\controllers\ProjetosController.php,salvarItemOrcamento
ProjetosController,app\controllers\ProjetosController.php,salvarArt
ProjetosController,app\controllers\ProjetosController.php,excluirArt
ProjetosController,app\controllers\ProjetosController.php,salvarCDT
ProjetosController,app\controllers\ProjetosController.php,excluirCDT
ProjetosController,app\controllers\ProjetosController.php,salvarMapa
ProjetosController,app\controllers\ProjetosController.php,excluirMapa
ProjetosController,app\controllers\ProjetosController.php,salvarArquivo
ProjetosController,app\controllers\ProjetosController.php,excluirArquivo
ProjetosController,app\controllers\ProjetosController.php,salvar
ProjetosController,app\controllers\ProjetosController.php,getFormulario
ProjetosController,app\controllers\ProjetosController.php,arquivados
RhController,app\controllers\RhController.php,index
RhController,app\controllers\RhController.php,registroFuncionario
RhController,app\controllers\RhController.php,salvar
RhController,app\controllers\RhController.php,detalhe
RhController,app\controllers\RhController.php,editar
RhController,app\controllers\RhController.php,excluir
RhController,app\controllers\RhController.php,fichaCadastral
RhController,app\controllers\RhController.php,folhaDePagamento
RhController,app\controllers\RhController.php,calcularFolha
RhController,app\controllers\RhController.php,verFolha
RhController,app\controllers\RhController.php,holerite
RhController,app\controllers\RhController.php,relatorioFichaCadastral
RhController,app\controllers\RhController.php,relatorios
RhController,app\controllers\RhController.php,lancamentos
RhController,app\controllers\RhController.php,salvarLancamentos
RhController,app\controllers\RhController.php,encargos
RhController,app\controllers\RhController.php,exportarFolhaContabil
RhController,app\controllers\RhController.php,calculoRescisao
RhController,app\controllers\RhController.php,espelhoFolha
RhController,app\controllers\RhController.php,exportarFolhaPdf
RhController,app\controllers\RhController.php,calculoFerias
RhController,app\controllers\RhController.php,processarCalculoFerias
RhController,app\controllers\RhController.php,gerarAvisoFeriasPdf
RhController,app\controllers\RhController.php,gerarRelatorioFeriasPdf
RhController,app\controllers\RhController.php,gerarReciboFeriasPdf
RhController,app\controllers\RhController.php,historicoFerias
RhController,app\controllers\RhController.php,editarHistoricoFerias
RhController,app\controllers\RhController.php,atualizarHistoricoFerias
RhController,app\controllers\RhController.php,excluirHistoricoFerias
TreinamentosController,app\controllers\TreinamentosController.php,index
TreinamentosController,app\controllers\TreinamentosController.php,novo
TreinamentosController,app\controllers\TreinamentosController.php,editar
TreinamentosController,app\controllers\TreinamentosController.php,salvar
TreinamentosController,app\controllers\TreinamentosController.php,excluir
UsuarioController,app\controllers\UsuarioController.php,index
UsuarioController,app\controllers\UsuarioController.php,novo
UsuarioController,app\controllers\UsuarioController.php,salvar
UsuarioController,app\controllers\UsuarioController.php,editar
UsuarioController,app\controllers\UsuarioController.php,atualizar
UsuarioController,app\controllers\UsuarioController.php,toggleStatus
